feature_idx,activation_count,freq,mean_when_active,max_activation,is_alive
201,174,0.000585,0.046456,0.135963,True
202,2,7e-06,0.013738,0.01411,True
203,172,0.000578,0.048639,0.092696,True
204,0,0.0,0.0,0.0,False
205,2,7e-06,0.012158,0.012158,True
206,3,1e-05,0.003228,0.004112,True
207,1,3e-06,0.007864,0.007864,True
208,1,3e-06,0.00951,0.00951,True
209,0,0.0,0.0,0.0,False
210,1,3e-06,0.000141,0.000141,True
211,2,7e-06,0.006376,0.006376,True
212,23774,0.079941,0.494787,0.679993,True
213,0,0.0,0.0,0.0,False
214,94,0.000316,0.00631,0.016317,True
215,2,7e-06,0.017243,0.018396,True
216,5,1.7e-05,0.017506,0.031867,True
217,1344,0.004519,0.0484,0.071093,True
218,2,7e-06,0.020498,0.028653,True
219,0,0.0,0.0,0.0,False
220,2,7e-06,0.022586,0.031305,True
221,6,2e-05,0.009787,0.01968,True
222,4,1.3e-05,0.005175,0.005175,True
223,182,0.000612,0.01867,0.044158,True
224,2,7e-06,0.016205,0.020855,True
225,19,6.4e-05,0.043773,0.056338,True
226,1,3e-06,0.015907,0.015907,True
227,4,1.3e-05,0.014238,0.027196,True
228,8,2.7e-05,0.017973,0.036204,True
229,381,0.001281,0.045849,0.203141,True
230,690,0.00232,0.139771,0.425832,True
231,135932,0.457076,0.124797,0.750971,True
232,12,4e-05,0.008479,0.017501,True
233,14,4.7e-05,0.008736,0.013239,True
234,188,0.000632,0.078022,0.120745,True
235,0,0.0,0.0,0.0,False
236,3,1e-05,0.009639,0.014096,True
237,1,3e-06,0.007559,0.007559,True
238,63,0.000212,0.05554,0.095215,True
239,1,3e-06,0.049786,0.049786,True
240,1069,0.003595,0.080443,0.135092,True
241,0,0.0,0.0,0.0,False
242,591,0.001987,0.024698,0.067843,True
243,21,7.1e-05,0.005058,0.014443,True
244,0,0.0,0.0,0.0,False
245,2081,0.006997,0.021707,0.058003,True
246,198475,0.667378,0.103635,0.391237,True
247,0,0.0,0.0,0.0,False
248,94204,0.316764,0.097454,0.540958,True
249,329,0.001106,0.031398,0.073605,True
250,6,2e-05,0.009851,0.009851,True
251,494,0.001661,0.065534,0.201254,True
252,60,0.000202,0.006767,0.014249,True
253,142,0.000477,0.020709,0.041313,True
254,313,0.001052,0.045655,0.129867,True
255,13598,0.045724,0.229728,0.380666,True
256,1,3e-06,0.037044,0.037044,True
257,13184,0.044332,0.064027,0.136851,True
258,2,7e-06,0.015663,0.015663,True
259,0,0.0,0.0,0.0,False
260,0,0.0,0.0,0.0,False
261,301,0.001012,0.032849,0.115646,True
262,60,0.000202,0.018685,0.059415,True
263,47324,0.159128,0.098149,0.503733,True
264,3418,0.011493,0.073933,0.129959,True
265,282608,0.950278,0.265371,0.676701,True
266,247,0.000831,0.054886,0.071672,True
267,24837,0.083515,0.112662,0.396777,True
268,181,0.000609,0.028158,0.059911,True
269,0,0.0,0.0,0.0,False
270,527,0.001772,0.04758,0.126807,True
271,8,2.7e-05,0.034597,0.071384,True
272,1,3e-06,0.005076,0.005076,True
273,1,3e-06,0.017707,0.017707,True
274,1,3e-06,0.017869,0.017869,True
275,0,0.0,0.0,0.0,False
276,1,3e-06,0.004108,0.004108,True
277,0,0.0,0.0,0.0,False
278,143,0.000481,0.043566,0.117306,True
279,7,2.4e-05,0.02144,0.023408,True
280,4,1.3e-05,0.020016,0.025363,True
281,709,0.002384,0.034193,0.098335,True
282,11,3.7e-05,0.01239,0.036965,True
283,6,2e-05,0.018935,0.024234,True
284,13485,0.045344,0.032536,0.098349,True
285,107,0.00036,0.06643,0.096024,True
286,2,7e-06,0.00855,0.012978,True
287,1,3e-06,0.078866,0.078866,True
288,147117,0.494686,0.099055,0.479247,True
289,4,1.3e-05,0.025038,0.034891,True
290,3,1e-05,0.028999,0.053343,True
291,1,3e-06,0.003372,0.003372,True
292,0,0.0,0.0,0.0,False
293,3,1e-05,0.008025,0.009138,True
294,0,0.0,0.0,0.0,False
295,2,7e-06,0.008656,0.008854,True
296,261354,0.878811,0.235922,0.84683,True
297,194,0.000652,0.023133,0.056769,True
298,2,7e-06,0.022606,0.022652,True
299,1,3e-06,0.013697,0.013697,True
300,8050,0.027068,0.134272,0.173235,True
301,1,3e-06,0.011899,0.011899,True
302,552,0.001856,0.049684,0.132198,True
303,8964,0.030142,0.037182,0.109293,True
304,0,0.0,0.0,0.0,False
305,761,0.002559,0.048794,0.086894,True
306,237,0.000797,0.053203,0.113589,True
307,1,3e-06,0.017637,0.017637,True
308,15,5e-05,0.010597,0.01651,True
309,3742,0.012583,0.042187,0.132571,True
310,0,0.0,0.0,0.0,False
311,210,0.000706,0.034141,0.066714,True
312,80,0.000269,0.025548,0.047303,True
313,27287,0.091753,0.204565,0.361666,True
314,3,1e-05,0.0203,0.029617,True
315,1,3e-06,0.020326,0.020326,True
316,116,0.00039,0.015506,0.037177,True
317,1,3e-06,0.009086,0.009086,True
318,4,1.3e-05,0.013431,0.015371,True
319,13307,0.044745,0.050543,0.115657,True
320,46917,0.15776,0.133225,0.402902,True
321,0,0.0,0.0,0.0,False
322,0,0.0,0.0,0.0,False
323,1,3e-06,0.010202,0.010202,True
324,2,7e-06,0.037866,0.05,True
325,1,3e-06,0.011665,0.011665,True
326,2,7e-06,0.02147,0.022837,True
327,0,0.0,0.0,0.0,False
328,4,1.3e-05,0.015337,0.018035,True
329,47,0.000158,0.013566,0.04426,True
330,2,7e-06,0.041412,0.05617,True
331,8919,0.02999,0.304566,0.381746,True
332,1,3e-06,0.011955,0.011955,True
333,224,0.000753,0.045104,0.059967,True
334,40999,0.13786,0.076551,0.442086,True
335,9,3e-05,0.024341,0.025681,True
336,1,3e-06,0.005385,0.005385,True
337,166,0.000558,0.014404,0.03227,True
338,1,3e-06,0.023364,0.023364,True
339,2578,0.008669,0.054245,0.171219,True
340,0,0.0,0.0,0.0,False
341,26,8.7e-05,0.00704,0.00784,True
342,2,7e-06,0.021099,0.024338,True
343,3,1e-05,0.020231,0.022455,True
344,371,0.001247,0.025,0.049401,True
345,288262,0.96929,0.355224,0.894297,True
346,2,7e-06,0.014044,0.01622,True
347,76,0.000256,0.143917,0.334123,True
348,26159,0.08796,0.5251,0.71315,True
349,0,0.0,0.0,0.0,False
350,169,0.000568,0.031935,0.061723,True
351,34,0.000114,0.010387,0.017402,True
352,249,0.000837,0.027377,0.053832,True
353,12,4e-05,0.019955,0.023426,True
354,1,3e-06,0.01445,0.01445,True
355,0,0.0,0.0,0.0,False
356,96,0.000323,0.040818,0.262935,True
357,0,0.0,0.0,0.0,False
358,2,7e-06,0.013169,0.01816,True
359,0,0.0,0.0,0.0,False
360,1730,0.005817,0.168457,0.204114,True
361,24642,0.082859,0.086599,0.374147,True
362,3,1e-05,0.019001,0.032194,True
363,105,0.000353,0.067656,0.156504,True
364,219,0.000736,0.166907,0.224911,True
365,276334,0.929182,0.252034,0.862008,True
366,1,3e-06,0.036265,0.036265,True
367,4,1.3e-05,0.010588,0.012309,True
368,297045,0.998823,0.514258,0.982349,True
369,315,0.001059,0.03537,0.071337,True
370,0,0.0,0.0,0.0,False
371,0,0.0,0.0,0.0,False
372,7,2.4e-05,0.010939,0.017813,True
373,71,0.000239,0.011012,0.028677,True
